match_id,player1,player2,elapsed_time,game_no,point_no,p1_games,p2_games,server,point_victor,p1_points_won,p2_points_won,momentum,momentum2
2020东京奥运会乒乓球男单决赛,樊振东,马龙,00:06:50,1,1,0,0,1,2,0,1,0,1.0
,,,00:07:07,1,2,0,0,1,2,0,2,-1,1.0
,,,00:07:27,1,3,0,0,2,2,0,3,-2,1.0
,,,00:08:11,1,4,0,0,2,2,0,4,-4,1.0
,,,00:08:27,1,5,0,0,1,2,0,5,-7,1.0
,,,00:08:51,1,6,0,0,1,2,0,6,-12,1.0
,,,00:09:23,1,7,0,0,2,2,0,7,-20,1.0
,,,00:10:03,1,8,0,0,2,1,1,7,-33,1.0
,,,00:10:27,1,9,0,0,1,1,2,7,-32,1.0
,,,00:10:52,1,10,0,0,1,2,2,8,-31,1.0
,,,00:11:27,1,11,0,0,2,1,3,8,-32,1.0
,,,00:11:50,1,12,0,0,2,2,3,9,-31,1.0
,,,00:12:20,1,13,0,0,1,1,4,9,-32,1.0
,,,00:12:46,1,14,0,0,1,2,4,10,-31,1.0
,,,00:13:13,1,15,0,0,2,2,4,11,-32,1.0
,,,00:15:03,2,1,0,1,2,1,1,0,0,0.6666666666666666
,,,00:15:48,2,2,0,1,2,2,1,1,1,0.6666666666666666
,,,00:15:56,2,3,0,1,1,1,2,1,0,0.6666666666666666
,,,00:16:18,2,4,0,1,1,1,3,1,1,0.6666666666666666
,,,00:16:45,2,5,0,1,2,2,3,2,2,0.6666666666666666
,,,00:17:09,2,6,0,1,2,2,3,3,1,0.6666666666666666
,,,00:18:01,2,7,0,1,1,1,4,3,0,0.6666666666666666
,,,00:18:27,2,8,0,1,1,2,4,4,1,0.6666666666666666
,,,00:18:58,2,9,0,1,2,2,4,5,0,0.6666666666666666
,,,00:19:28,2,10,0,1,2,1,5,5,-1,0.6666666666666666
,,,00:19:59,2,11,0,1,1,1,6,5,0,0.6666666666666666
,,,00:20:28,2,12,0,1,1,1,7,5,1,0.6666666666666666
,,,00:21:02,2,13,0,1,2,2,7,6,3,0.6666666666666666
,,,00:21:31,2,14,0,1,2,2,7,7,2,0.6666666666666666
,,,00:22:06,2,15,0,1,1,2,7,8,1,0.6666666666666666
,,,00:23:17,2,16,0,1,1,1,8,8,-1,0.6666666666666666
,,,00:23:48,2,17,0,1,2,1,9,8,0,0.6666666666666666
,,,00:24:23,2,18,0,1,2,1,10,8,1,0.6666666666666666
,,,00:25:01,2,19,0,1,1,2,10,9,3,0.6666666666666666
